;www.isemcon.com		diffusefield
;sensitivity	7.43	mV/Pa @ 1kHz
10	-1.74	
11.2	-1.21	
12.5	-1.06	
14	-0.80	
16	-0.60	
18	-0.39	
20	-0.27	
22.4	-0.16	
25	-0.08	
28	0.00	
31.5	0.05	
35.5	0.11	
40	0.16	
45	0.18	
50	0.20	
56	0.23	
63	0.24	
71	0.25	
80	0.26	
90	0.26	
100	0.27	
112	0.27	
125	0.28	
140	0.27	
160	0.26	
180	0.26	
200	0.25	
224	0.25	
250	0.24	
280	0.23	
315	0.22	
355	0.21	
400	0.20	
450	0.18	
500	0.20	
560	0.24	
630	0.20	
710	0.16	
800	0.12	
900	0.07	
1000	0.01	
1120	-0.05	
1250	-0.16	
1400	-0.13	
1600	-0.23	
1800	-0.28	
2000	-0.33	
2240	-0.39	
2500	-0.50	
2800	-0.60	
3150	-0.60	
3550	-0.59	
4000	-0.72	
4500	-0.95	
5000	-0.96	
5600	-0.86	
6300	-1.05	
7100	-0.87	
8000	-1.13	
9000	-1.04	
10000	-1.39	
11200	-1.54	
12500	-1.77	
14000	-2.21	
16000	-3.03	
18000	-3.91	
20000	-4.59	
		
